"FID"	"IID"	"region"
"m004"	"NA19676"	"MXL"
"m004"	"NA19677"	"MXL"
"m009"	"NA19678"	"MXL"
"m009"	"NA19679"	"MXL"
"m009"	"NA19680"	"MXL"
"m010"	"NA19681"	"MXL"
"m010"	"NA19682"	"MXL"
"m010"	"NA19683"	"MXL"
"m011"	"NA19684"	"MXL"
"m011"	"NA19685"	"MXL"
"m011"	"NA19686"	"MXL"
"m014"	"NA19716"	"MXL"
"m014"	"NA19717"	"MXL"
"m014"	"NA19718"	"MXL"
"m015"	"NA19719"	"MXL"
"m015"	"NA19720"	"MXL"
"m015"	"NA19721"	"MXL"
"m016"	"NA19722"	"MXL"
"m016"	"NA19723"	"MXL"
"m016"	"NA19724"	"MXL"
"m017"	"NA19725"	"MXL"
"m017"	"NA19726"	"MXL"
"m017"	"NA19727"	"MXL"
"m018"	"NA19728"	"MXL"
"m018"	"NA19729"	"MXL"
"m018"	"NA19730"	"MXL"
"m019"	"NA19731"	"MXL"
"m019"	"NA19732"	"MXL"
"m019"	"NA19733"	"MXL"
"2393"	"NA19734"	"MXL"
"2393"	"NA19735"	"MXL"
"2394"	"NA19737"	"MXL"
"2394"	"NA19738"	"MXL"
"2395"	"NA19740"	"MXL"
"2395"	"NA19741"	"MXL"
"2395"	"NA19742"	"MXL"
"m023"	"NA19746"	"MXL"
"m023"	"NA19747"	"MXL"
"m023"	"NA19748"	"MXL"
"m024"	"NA19749"	"MXL"
"m024"	"NA19750"	"MXL"
"m024"	"NA19751"	"MXL"
"2401"	"NA19752"	"MXL"
"2401"	"NA19753"	"MXL"
"2401"	"NA19754"	"MXL"
"m026"	"NA19755"	"MXL"
"m026"	"NA19756"	"MXL"
"m026"	"NA19757"	"MXL"
"m027"	"NA19758"	"MXL"
"m027"	"NA19759"	"MXL"
"m027"	"NA19760"	"MXL"
"m028"	"NA19761"	"MXL"
"m028"	"NA19762"	"MXL"
"m028"	"NA19763"	"MXL"
"2405"	"NA19764"	"MXL"
"2405"	"NA19766"	"MXL"
"m031"	"NA19770"	"MXL"
"m031"	"NA19771"	"MXL"
"m031"	"NA19772"	"MXL"
"m033"	"NA19773"	"MXL"
"m033"	"NA19774"	"MXL"
"m033"	"NA19775"	"MXL"
"m034"	"NA19776"	"MXL"
"m034"	"NA19777"	"MXL"
"m034"	"NA19778"	"MXL"
"m035"	"NA19779"	"MXL"
"m035"	"NA19780"	"MXL"
"m035"	"NA19781"	"MXL"
"m036"	"NA19782"	"MXL"
"m036"	"NA19783"	"MXL"
"m036"	"NA19784"	"MXL"
"m032"	"NA19785"	"MXL"
"m032"	"NA19786"	"MXL"
"m032"	"NA19787"	"MXL"
"m037"	"NA19788"	"MXL"
"m037"	"NA19789"	"MXL"
"m037"	"NA19790"	"MXL"
"2414"	"NA19792"	"MXL"
"m039"	"NA19794"	"MXL"
"m039"	"NA19795"	"MXL"
"m039"	"NA19796"	"MXL"
"2416"	"NA19797"	"MXL"
"2416"	"NA19798"	"MXL"
